0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Date,Name,Oponnent,R1_Head_Attempts,R1_Head_Landed,R1_Body_Attempts,R1_Body_Landed,R1_Leg_Attempts,R1_Leg_Laneded,R1_Distance_Attempts,R1_Distance_Landed,R1_Clinch_Attemtps,R1_Clinch_Landed,R1_Ground_Attempts,R1_Ground_Landed,R2_Head_Attempts,R2_Head_Landed,R2_Body_Attempts,R2_Body_Landed,R2_Leg_Attempts,R2_Leg_Laneded,R2_Distance_Attempts,R2_Distance_Landed,R2_Clinch_Attemtps,R2_Clinch_Landed,R2_Ground_Attempts,R2_Ground_Landed,R3_Head_Attempts,R3_Head_Landed,R3_Body_Attempts,R3_Body_Landed,R3_Leg_Attempts,R3_Leg_Laneded,R3_Distance_Attempts,R3_Distance_Landed,R3_Clinch_Attemtps,R3_Clinch_Landed,R3_Ground_Attempts,R3_Ground_Landed,R4_Head_Attempts,R4_Head_Landed,R4_Body_Attempts,R4_Body_Landed,R4_Leg_Attempts,R4_Leg_Laneded,R4_Distance_Attempts,R4_Distance_Landed,R4_Clinch_Attemtps,R4_Clinch_Landed,R4_Ground_Attempts,R4_Ground_Landed,R5_Head_Attempts,R5_Head_Landed,R5_Body_Attempts,R5_Body_Landed,R5_Leg_Attempts,R5_Leg_Laneded,R5_Distance_Attempts,R5_Distance_Landed,R5_Clinch_Attemtps,R5_Clinch_Landed,R5_Ground_Attempts,R5_Ground_Landed
2/19/2019,Israel Adesanya,Anderson Silva,31,10,2,1,11,9,41,18,3,2,0,0,23,8,7,3,9,9,39,20,0,0,0,0,25,9,13,5,11,11,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/2018,Israel Adesanya,Derek Brunson,11,2,2,0,1,1,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2018,Israel Adesanya,Brad Tavares,21,4,0,0,1,1,33,8,2,0,1,1,34,13,7,5,8,7,36,24,3,1,0,0,51,8,3,1,0,0,51,9,3,0,0,0,27,8,1,0,0,0,26,6,1,1,1,1,24,4,2,2,0,0,25,6,1,0,0,0
4/14/2018,Israel Adesanya,Marvin Vettori,29,9,7,6,11,9,47,24,0,0,0,0,44,14,3,3,8,6,55,23,0,0,0,0,19,8,2,2,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2018,Israel Adesanya,Rob Wilkinson,8,2,7,5,12,10,11,4,16,13,0,0,14,4,3,0,2,1,15,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2018,Eryk Anders,Elias Theodorou,19,6,4,2,0,0,16,5,7,3,0,0,55,30,8,6,0,0,48,25,15,11,0,0,42,18,4,2,1,1,41,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2018,Eryk Anders,Thiago Santos,13,3,2,2,1,1,11,2,5,4,0,0,29,9,4,3,0,0,30,11,1,0,2,1,17,14,1,0,0,0,7,4,3,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/25/2018,Eryk Anders,Tim Williams,8,1,4,4,0,0,11,4,1,1,0,0,46,17,6,6,0,0,45,20,6,3,1,0,26,12,3,2,0,0,28,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2018,Eryk Anders,Lyoto Machida,4,0,2,2,0,0,4,1,1,1,1,0,11,4,2,2,0,0,10,4,3,2,0,0,16,6,3,3,0,0,13,4,6,5,0,0,16,4,1,1,1,1,14,3,3,2,1,1,16,4,5,5,0,0,19,7,2,2,0,0
12/9/2017,Eryk Anders,Markus Perez,21,8,10,7,1,1,16,5,16,11,0,0,59,32,10,7,0,0,35,18,14,8,20,13,37,22,2,2,1,0,6,3,9,5,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/2017,Eryk Anders,Rafael Natal,28,22,1,1,0,0,13,10,2,2,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/2018,Khalil Rountree Jr.,Johnny Walker,7,3,0,0,2,1,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/2018,Khalil Rountree Jr.,Gokhan Saki,17,9,0,0,0,0,11,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
